Seed,ResNet Accuracy,ResNet Balanced Acc,ResNet MCC,Hybrid Accuracy,Hybrid Balanced Acc,Hybrid MCC,Hybrid Test n
42,0.4838709677419355,0.4402116402116402,0.15272256269985637,0.5405405405405406,0.47929292929292927,0.20367380265893661,37
7,0.3548387096774194,0.4158730158730159,0.18884420559904636,0.5135135135135135,0.4101010101010101,0.11483017214676036,37
123,0.5161290322580645,0.4772486772486772,0.21975277186187508,0.43243243243243246,0.3464646464646464,-0.00793573041919659,37
2024,0.45161290322580644,0.4984126984126984,0.22293962025585803,0.5405405405405406,0.47929292929292927,0.20124760649828555,37
99,0.43548387096774194,0.4365079365079365,0.15772995618140387,0.5675675675675675,0.4707070707070707,0.24351841292461449,37
