Model,Accuracy,Accuracy SD,Balanced Accuracy,ROC-AUC,ROC-AUC SD,MCC
Logistic Regression,0.7984615384615384,0.07156740522838774,0.8043257575757575,0.9057803030303032,0.06368094848684067,0.5736782992137281
Support Vector Machine,0.7307692307692308,0.08355984993230936,0.7426439393939392,0.8579848484848484,0.06969877468018496,0.46640059282555785
Random Forest,0.7123076923076923,0.09428648274488963,0.7184318181818182,0.8372651515151515,0.06580894690779476,0.43546491894655087
XGBoost,0.7461538461538462,0.07457969011409737,0.7347500000000001,0.8046325757575759,0.07140657847170537,0.35605930808321645
