Model,Accuracy,Accuracy SD,Balanced Accuracy,Precision,Recall,F1,F1 SD,MCC,Protocol
Logistic Regression,0.5346,0.0639,0.5715,0.5452,0.5715,0.5361,0.0618,0.2864,"5x5 CV, n=260 participants"
Support Vector Machine,0.4785,0.0539,0.5186,0.507,0.5186,0.4803,0.0561,0.23,"5x5 CV, n=260 participants"
XGBoost,0.5185,0.0567,0.4408,0.4629,0.4408,0.4375,0.0661,0.197,"5x5 CV, n=260 participants"
ResNet-18,0.4677,,0.4873,0.46,0.4873,0.4689,,0.1839,"Held-out test, n=62 participants"
Random Forest,0.4446,0.0602,0.466,0.4542,0.466,0.4392,0.0603,0.1248,"5x5 CV, n=260 participants"
Hybrid AI,0.4865,,0.3545,0.3157,0.3545,0.3333,,0.072,"Leak-free held-out test, n=37 participants"
Majority-class baseline,0.5,,0.3333,,,,,0.0,Always predicts the majority class
